Date,Time,Latitude,Longitude,Depth,Magnitude,Datetime
2019-01-01,00:58:45,-0.24,123.13,69.0,3.8,2019-01-01 00:58:45
2019-01-01,02:04:03,5.8,127.41,10.0,4.3,2019-01-01 02:04:03
2019-01-01,02:52:01,1.9,121.2,10.0,2.8,2019-01-01 02:52:01
2019-01-01,03:00:43,5.75,126.93,69.0,4.7,2019-01-01 03:00:43
2019-01-01,04:18:11,3.1,126.59,10.0,4.0,2019-01-01 04:18:11
2019-01-01,04:36:25,0.48,122.05,173.0,1.8,2019-01-01 04:36:25
2019-01-01,06:34:48,5.95,126.87,96.0,4.6,2019-01-01 06:34:48
2019-01-01,09:49:12,1.25,124.15,261.0,3.4,2019-01-01 09:49:12
2019-01-01,10:15:18,0.22,122.44,120.0,2.5,2019-01-01 10:15:18
2019-01-01,10:25:01,1.58,126.28,10.0,3.8,2019-01-01 10:25:01
2019-01-01,12:41:59,5.78,126.83,17.0,4.1,2019-01-01 12:41:59
2019-01-01,14:26:52,3.1,126.58,46.0,4.0,2019-01-01 14:26:52
2019-01-01,19:51:24,3.14,126.61,56.0,3.9,2019-01-01 19:51:24
2019-01-01,20:33:09,0.16,122.47,140.0,2.7,2019-01-01 20:33:09
2019-01-01,21:03:50,-0.13,122.99,101.0,3.0,2019-01-01 21:03:50
2019-01-01,22:07:35,5.98,126.72,128.0,4.3,2019-01-01 22:07:35
2019-01-01,22:11:19,5.84,126.82,101.0,4.3,2019-01-01 22:11:19
2019-01-01,22:33:11,0.19,122.51,129.0,2.2,2019-01-01 22:33:11
2019-01-01,23:03:50,-0.18,123.0,103.0,2.8,2019-01-01 23:03:50
2019-01-02,01:21:17,0.34,122.0,158.0,2.2,2019-01-02 01:21:17
2019-01-02,03:43:47,2.57,127.77,12.0,3.7,2019-01-02 03:43:47
2019-01-02,09:15:38,0.72,127.04,31.0,3.2,2019-01-02 09:15:38
2019-01-02,12:33:52,2.62,127.47,15.0,3.0,2019-01-02 12:33:52
2019-01-02,12:47:43,3.0,128.02,124.0,4.6,2019-01-02 12:47:43
2019-01-02,13:36:01,5.57,126.32,110.0,4.4,2019-01-02 13:36:01
2019-01-02,16:36:09,2.54,127.77,14.0,3.9,2019-01-02 16:36:09
2019-01-02,16:53:45,2.09,127.17,23.0,3.2,2019-01-02 16:53:45
2019-01-02,19:08:48,-0.26,132.05,10.0,3.9,2019-01-02 19:08:48
